"age","sex","N","year"
0,"female",51897.7809284048,2010
0,"male",53429.2809117698,2010
1,"female",219646.099817537,2010
1,"male",225296.570248197,2010
5,"female",286496.874293295,2010
5,"male",294893.069607419,2010
10,"female",288035.805896739,2010
10,"male",294849.941621214,2010
15,"female",290557.647072179,2010
15,"male",283023.937457115,2010
20,"female",263928.737729391,2010
20,"male",233344.999133205,2010
25,"female",231157.443335101,2010
25,"male",198629.463305598,2010
30,"female",221707.32603065,2010
30,"male",189829.777612874,2010
35,"female",208336.707027089,2010
35,"male",182974.816942557,2010
40,"female",175878.174809009,2010
40,"male",152816.545834444,2010
45,"female",144618.877173931,2010
45,"male",125889.389420616,2010
50,"female",122612.642509582,2010
50,"male",106758.791648289,2010
55,"female",93514.6143084693,2010
55,"male",83782.3240583778,2010
60,"female",75862.2269963631,2010
60,"male",66958.2202746644,2010
65,"female",56570.5979466493,2010
65,"male",50620.6671100949,2010
70,"female",46893.9217957567,2010
70,"male",41057.8356212094,2010
75,"female",32505.0370597941,2010
75,"male",28714.1802938122,2010
80,"female",23507.1224266344,2010
80,"male",19411.5095780258,2010
85,"female",21411.9065213389,2010
85,"male",16282.3121273841,2010
0,"female",48982.3922141319,2019
0,"male",50228.6893052967,2019
1,"female",217976.917277453,2019
1,"male",223449.089733226,2019
5,"female",271749.954220023,2019
5,"male",279176.580179044,2019
10,"female",272330.507124416,2019
10,"male",280337.459878903,2019
15,"female",275760.733231614,2019
15,"male",278857.745690719,2019
20,"female",273222.45753895,2019
20,"male",265037.913518591,2019
25,"female",258107.868027383,2019
25,"male",239033.793404242,2019
30,"female",242714.527662555,2019
30,"male",216563.841090457,2019
35,"female",229471.272914478,2019
35,"male",206719.053700616,2019
40,"female",211980.517465367,2019
40,"male",189707.859168199,2019
45,"female",187744.224326399,2019
45,"male",170668.587973078,2019
50,"female",166218.28142131,2019
50,"male",145092.889866059,2019
55,"female",130673.570842701,2019
55,"male",114358.957951249,2019
60,"female",111717.352408333,2019
60,"male",96852.9443231216,2019
65,"female",83459.9560542936,2019
65,"male",73842.7507786659,2019
70,"female",61679.0749530778,2019
70,"male",54306.31161804,2019
75,"female",42092.4039737299,2019
75,"male",37526.8726399011,2019
80,"female",29446.0425330942,2019
80,"male",24094.4073526706,2019
85,"female",28710.3938754903,2019
85,"male",21677.9053907167,2019
0,"female",49249.5606742052,2021
0,"male",50487.0647157149,2021
1,"female",220025.693491006,2021
1,"male",225538.6427008,2021
5,"female",273338.148124548,2021
5,"male",280766.048810633,2021
10,"female",273853.219861858,2021
10,"male",282028.048323542,2021
15,"female",277384.851223772,2021
15,"male",281320.640416947,2021
20,"female",276700.787384044,2021
20,"male",270361.384021364,2021
25,"female",262941.592075178,2021
25,"male",244937.204580063,2021
30,"female",246879.246915391,2021
30,"male",220989.574689151,2021
35,"female",233519.763465539,2021
35,"male",210783.267481701,2021
40,"female",217241.877480512,2021
40,"male",194865.071540605,2021
45,"female",193522.267416542,2021
45,"male",176516.995222207,2021
50,"female",171913.540739664,2021
50,"male",150093.943672453,2021
55,"female",135470.950413991,2021
55,"male",118340.538125511,2021
60,"female",116293.888540174,2021
60,"male",100679.629144135,2021
65,"female",86891.2865769172,2021
65,"male",76810.937474559,2021
70,"female",63642.2233849497,2021
70,"male",56059.2935193054,2021
75,"female",43379.3619548754,2021
75,"male",38701.9930815316,2021
80,"female",30267.801050487,2021
80,"male",24749.1564460241,2021
85,"female",29668.7392263458,2021
85,"male",22389.1060337515,2021
