"age","sex","pop","N","year"
0,"male",53539.4097106434,53539.4097106434,2010
1,"male",225358.41530341,225358.41530341,2010
5,"male",295431.921348743,295431.921348743,2010
10,"male",295346.419238355,295346.419238355,2010
15,"male",283163.877368827,283163.877368827,2010
20,"male",232356.511561878,232356.511561878,2010
25,"male",197407.272463961,197407.272463961,2010
30,"male",188997.8884305,188997.8884305,2010
35,"male",182232.156730852,182232.156730852,2010
40,"male",151718.968301304,151718.968301304,2010
45,"male",124618.822937012,124618.822937012,2010
50,"male",105672.561182198,105672.561182198,2010
55,"male",82917.9348399821,82917.9348399821,2010
60,"male",66139.4030603009,66139.4030603009,2010
65,"male",49987.5514544051,49987.5514544051,2010
70,"male",40676.8745867355,40676.8745867355,2010
75,"male",28459.1259658717,28459.1259658717,2010
80,"male",19272.1756814696,19272.1756814696,2010
85,"male",16127.7098335509,16127.7098335509,2010
0,"female",51997.8932827181,51997.8932827181,2010
1,"female",219701.958828013,219701.958828013,2010
5,"female",287001.985850992,287001.985850992,2010
10,"female",288574.632530567,288574.632530567,2010
15,"female",291064.321263705,291064.321263705,2010
20,"female",263624.452185114,263624.452185114,2010
25,"female",230309.279686603,230309.279686603,2010
30,"female",221039.311822792,221039.311822792,2010
35,"female",207666.787403569,207666.787403569,2010
40,"female",174787.008774786,174787.008774786,2010
45,"female",143366.252097451,143366.252097451,2010
50,"female",121375.342326159,121375.342326159,2010
55,"female",92477.4568246886,92477.4568246886,2010
60,"female",74889.7566504927,74889.7566504927,2010
65,"female",55842.0289962823,55842.0289962823,2010
70,"female",46467.4861614513,46467.4861614513,2010
75,"female",32226.1850599055,32226.1850599055,2010
80,"female",23331.2793517734,23331.2793517734,2010
85,"female",21203.580902937,21203.580902937,2010
0,"male",49987.1927878365,49987.1927878365,2020
1,"male",223305.586832475,223305.586832475,2020
5,"male",277986.186941221,277986.186941221,2020
10,"male",279235.691409448,279235.691409448,2020
15,"male",278535.287541532,278535.287541532,2020
20,"male",267684.538635014,267684.538635014,2020
25,"male",242512.083742637,242512.083742637,2020
30,"male",218801.559098169,218801.559098169,2020
35,"male",208696.304437328,208696.304437328,2020
40,"male",192935.714396639,192935.714396639,2020
45,"male",174769.302200205,174769.302200205,2020
50,"male",148607.865022231,148607.865022231,2020
55,"male",117168.849629219,117168.849629219,2020
60,"male",99682.8011328069,99682.8011328069,2020
65,"male",76050.4331431277,76050.4331431277,2020
70,"male",55504.2510092133,55504.2510092133,2020
75,"male",38318.8050312194,38318.8050312194,2020
80,"male",24504.1152930932,24504.1152930932,2020
85,"male",22167.4317165856,22167.4317165856,2020
0,"female",48761.9412615893,48761.9412615893,2020
1,"female",217847.221278224,217847.221278224,2020
5,"female",270631.829826285,270631.829826285,2020
10,"female",271141.801843424,271141.801843424,2020
15,"female",274638.46655819,274638.46655819,2020
20,"female",273961.175627766,273961.175627766,2020
25,"female",260338.209975424,260338.209975424,2020
30,"female",244434.897936031,244434.897936031,2020
35,"female",231207.686599544,231207.686599544,2020
40,"female",215090.967802487,215090.967802487,2020
45,"female",191606.205362913,191606.205362913,2020
50,"female",170211.426474915,170211.426474915,2020
55,"female",134129.653875239,134129.653875239,2020
60,"female",115142.463901162,115142.463901162,2020
65,"female",86030.9768088289,86030.9768088289,2020
70,"female",63012.1023613363,63012.1023613363,2020
75,"female",42949.8633216588,42949.8633216588,2020
80,"female",29968.1198519673,29968.1198519673,2020
85,"female",29374.9893330156,29374.9893330156,2020
