"year","sex","age","pop"
2010,"male",0,53539.4097106434
2010,"male",1,225358.41530341
2010,"male",5,295431.921348743
2010,"male",10,295346.419238355
2010,"male",15,283163.877368827
2010,"male",20,232356.511561878
2010,"male",25,197407.272463961
2010,"male",30,188997.8884305
2010,"male",35,182232.156730852
2010,"male",40,151718.968301304
2010,"male",45,124618.822937012
2010,"male",50,105672.561182198
2010,"male",55,82917.9348399821
2010,"male",60,66139.4030603009
2010,"male",65,49987.5514544051
2010,"male",70,40676.8745867355
2010,"male",75,28459.1259658717
2010,"male",80,19272.1756814696
2010,"male",85,16127.7098335509
2020,"male",0,49987.1927878365
2020,"male",1,223305.586832475
2020,"male",5,277986.186941221
2020,"male",10,279235.691409448
2020,"male",15,278535.287541532
2020,"male",20,267684.538635014
2020,"male",25,242512.083742637
2020,"male",30,218801.559098169
2020,"male",35,208696.304437328
2020,"male",40,192935.714396639
2020,"male",45,174769.302200205
2020,"male",50,148607.865022231
2020,"male",55,117168.849629219
2020,"male",60,99682.8011328069
2020,"male",65,76050.4331431277
2020,"male",70,55504.2510092133
2020,"male",75,38318.8050312194
2020,"male",80,24504.1152930932
2020,"male",85,22167.4317165856
2010,"female",0,51997.8932827181
2010,"female",1,219701.958828013
2010,"female",5,287001.985850992
2010,"female",10,288574.632530567
2010,"female",15,291064.321263705
2010,"female",20,263624.452185114
2010,"female",25,230309.279686603
2010,"female",30,221039.311822792
2010,"female",35,207666.787403569
2010,"female",40,174787.008774786
2010,"female",45,143366.252097451
2010,"female",50,121375.342326159
2010,"female",55,92477.4568246886
2010,"female",60,74889.7566504927
2010,"female",65,55842.0289962823
2010,"female",70,46467.4861614513
2010,"female",75,32226.1850599055
2010,"female",80,23331.2793517734
2010,"female",85,21203.580902937
2020,"female",0,48761.9412615893
2020,"female",1,217847.221278224
2020,"female",5,270631.829826285
2020,"female",10,271141.801843424
2020,"female",15,274638.46655819
2020,"female",20,273961.175627766
2020,"female",25,260338.209975424
2020,"female",30,244434.897936031
2020,"female",35,231207.686599544
2020,"female",40,215090.967802487
2020,"female",45,191606.205362913
2020,"female",50,170211.426474915
2020,"female",55,134129.653875239
2020,"female",60,115142.463901162
2020,"female",65,86030.9768088289
2020,"female",70,63012.1023613363
2020,"female",75,42949.8633216588
2020,"female",80,29968.1198519673
2020,"female",85,29374.9893330156
